,select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
83,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262598011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Dyes,,,,
84,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262599011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Kits,,,,
85,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262600011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Molds,,,,
86,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262601011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Scents,,,,
87,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262602011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Wax,,,,
88,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262603011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Wicks,,,,
89,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896441,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,,,,,
90,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896461,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Ceramic & Pottery Tools,,,,
91,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896471,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,"Clay Extruders, Mixers & Presses",,,,
92,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262604011,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Clay Molds,,,,
93,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896491,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Clays & Doughs,,,,
94,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/689390011,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Clays & Doughs,Clay,,,
95,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/689391011,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Clays & Doughs,Dough,,,
96,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896501,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Glazes,,,,
100,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896521,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Pottery Wheels & Accessories,,,,
101,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896531,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Pug Mills & Slab Rollers,,,,
102,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090836011,"Arts, Crafts & Sewing",Craft Supplies,Ceramics & Pottery,Ready-to-Paint Ceramics,,,,
103,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090710011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,,,,,
104,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890721,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,,,,
105,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898731,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Adhesive Removers,,,
106,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890731,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Adhesive Sheets & Sprays,,,
107,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933693011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Adhesive Sheets & Sprays,Adhesive Sheets,,
